pmid,title,authors,journal,date,abstract,references,citedin,five
26401440,Precise Measurement of Lunar Spectral Irradiance at Visible Wavelengths.,"Cramer, C E CE|Lykke, K R KR|Woodward, J T JT|Smith, A W AW",Journal of research of the National Institute of Standards and Technology,2013,"We report a measurement of lunar spectral irradiance with an uncertainty below 1 % from 420 nm to 1000 nm. This measurement uncertainty meets the stability requirement for many climate data records derived from satellite images, including those for vegetation, aerosols, and snow and ice albedo. It therefore opens the possibility of using the Moon as a calibration standard to bridge gaps in satellite coverage and validate atmospheric retrieval algorithms. Our measurement technique also yields detailed information about the atmosphere at the measurement site, suggesting that lunar observations are a possible solution for aerosol monitoring during the polar winter and can provide nighttime measurements to complement aerosol data collected with sun photometers. Our measurement, made with a novel apparatus, is an order of magnitude more accurate than the previous state-of-the-art and has continuous spectral coverage, removing the need to interpolate between filter passbands.",15540442|26836861|26989581|26989588,34434627|26836861|25646781,27661591|34434627|26900523|18806861|18301626
30278699,"Invited Article: Advances in tunable laser-based radiometric calibration applications at the National Institute of Standards and Technology, USA.","Woodward, John T JT|Shaw, Ping-Shine PS|Yoon, Howard W HW|Zong, Yuqin Y|Brown, Steven W SW|Lykke, Keith R KR",The Review of scientific instruments,2018 Sep,"Recent developments at the National Institute of Standards and Technology's facility for Spectral Irradiance and Radiance responsivity Calibrations using Uniform Sources (SIRCUS) are presented. The facility is predicated on the use of broadly tunable narrow-band lasers as light sources in two key radiometric calibration applications. In the first application, the tunable lasers are used to calibrate the spectral power responsivities of primary standard detectors against an absolute cryogenic radiometer (ACR). The second function is to calibrate the absolute radiance and irradiance responsivities of detectors with uniform light sources, typically generated by coupling the laser light into integrating spheres. The radiant flux from the uniform sources is determined by the ACR-calibrated primary standard detectors. Together these sources and detectors are used to transfer radiometric scales to a variety of optical instruments with low uncertainties. We describe methods for obtaining the stable, uniform light sources required for low uncertainty measurements along with advances in laser sources that facilitate tuning over broader wavelength ranges. Example applications include the development of a detector-based thermodynamic temperature scale, the calibration and characterization of spectrographs, and the use of a traveling version of SIRCUS (T-SIRCUS) to calibrate large aperture Earth observing instruments and astronomical telescopes.",20234698|18286152|26836861|27500040|22695603|22453380|19829563|28179757|20357870|18200123|21102852|20221008|22945145|27413595|17068565|27366615|24922428|15678771|27551638|17676122|16523771|18276857|26903102|21085215|27805120|20720647,32752793,17068565|25881452|17579678|24922428|34475608
26989588,Best Practice Guidelines for Pre-Launch Characterization and Calibration of Instruments for Passive Optical Remote Sensing.,"Datla, R U RU|Rice, J P JP|Lykke, K R KR|Johnson, B C BC|Butler, J J JJ|Xiong, X X",Journal of research of the National Institute of Standards and Technology,2011 Mar-Apr,"The pre-launch characterization and calibration of remote sensing instruments should be planned and carried out in conjunction with their design and development to meet the mission requirements. The onboard calibrators such as blackbodies and the sensors such as spectral radiometers should be characterized and calibrated using SI traceable standards. In the case of earth remote sensing, this allows inter-comparison and intercalibration of different sensors in space to create global time series of climate records of high accuracy where some inevitable data gaps can be easily bridged. The recommended best practice guidelines for this pre-launch effort is presented based on experience gained at National Institute of Standards and Technology (NIST), National Aeronautics and Space Administration (NASA) and National Oceanic and Atmospheric Administration (NOAA) programs over the past two decades. The currently available radiometric standards and calibration facilities at NIST serving the remote sensing community are described. Examples of best practice calibrations and intercomparisons to build SI (international System of Units) traceable uncertainty budget in the instrumentation used for preflight satellite sensor calibration and validation are presented.",16252654|17068565|17167550|17514232|27446717|27500019|28009378|29151763,26989581|26601030|26401440,26601030|26900523|26989581|25881452|27805113
24922428,Spectral radiance source based on supercontinuum laser and wavelength tunable bandpass filter: the spectrally tunable absolute irradiance and radiance source.,"Levick, Andrew P AP|Greenwell, Claire L CL|Ireland, Jane J|Woolliams, Emma R ER|Goodman, Teresa M TM|Bialek, Agnieszka A|Fox, Nigel P NP",Applied optics,2014 Jun 01,"A new spectrally tunable source for calibration of radiometric detectors in radiance, irradiance, or power mode has been developed and characterized. It is termed the spectrally tunable absolute irradiance and radiance source (STAIRS). It consists of a supercontinuum laser, wavelength tunable bandpass filter, power stabilization feedback control scheme, and output coupling optics. It has the advantages of relative portability and a collimated beam (low ̩tendue), and is an alternative to conventional sources such as tungsten lamps, blackbodies, or tunable lasers. The supercontinuum laser is a commercial Fianium SC400-6-02, which has a wavelength range between 400 and 2500 nm and a total power of 6 W. The wavelength tunable bandpass filter, a PhotonEtc laser line tunable filter (LLTF), is tunable between 400 and 1000 nm and has a bandwidth of 1 or 2 nm depending on the wavelength selected. The collimated laser beam from the LLTF filter is converted to an appropriate spatial and angular distribution for the application considered (i.e., for radiance, irradiance, or power mode calibration of a radiometric sensor) with the output coupling optics, for example, an integrating sphere, and the spectral radiance/irradiance/power of the source is measured using a calibration optical sensor. A power stabilization feedback control scheme has been incorporated that stabilizes the source to better than 0.01% for averaging times longer than 100 s. The out-of-band transmission of the LLTF filter is estimated to be < -65 dB (0.00003%), and is sufficiently low for many end-user applications, for example the spectral radiance calibration of earth observation imaging radiometers and the stray light characterization of array spectrometers (the end-user optical sensor). We have made initial measurements of two end-user instruments with the STAIRS source, an array spectrometer and ocean color radiometer.",,30278699,29047658|17068565|25881452|30278699|17579678|20370157
26900523,Lunar Spectral Irradiance and Radiance (LUSI): New Instrumentation to Characterize the Moon as a Space-Based Radiometric Standard.,"Smith, Allan W AW|Lorentz, Steven R SR|Stone, Thomas C TC|Datla, Raju V RV",Journal of research of the National Institute of Standards and Technology,2012,"The need to understand and monitor climate change has led to proposed radiometric accuracy requirements for space-based remote sensing instruments that are very stringent and currently outside the capabilities of many Earth orbiting instruments. A major problem is quantifying changes in sensor performance that occur from launch and during the mission. To address this problem on-orbit calibrators and monitors have been developed, but they too can suffer changes from launch and the harsh space environment. One solution is to use the Moon as a calibration reference source. Already the Moon has been used to remove post-launch drift and to cross-calibrate different instruments, but further work is needed to develop a new model with low absolute uncertainties capable of climate-quality absolute calibration of Earth observing instruments on orbit. To this end, we are proposing an Earth-based instrument suite to measure the absolute lunar spectral irradiance to an uncertainty(1) of 0.5 % (k=1) over the spectral range from 320 nm to 2500 nm with a spectral resolution of approximately 0.3 %. Absolute measurements of lunar radiance will also be acquired to facilitate calibration of high spatial resolution sensors. The instruments will be deployed at high elevation astronomical observatories and flown on high-altitude balloons in order to mitigate the effects of the Earth's atmosphere on the lunar observations. Periodic calibrations using instrumentation and techniques available from NIST will ensure traceability to the International System of Units (SI) and low absolute radiometric uncertainties.",15540442|17068565|18273360|18357188|20389986|27274942,26601030,26989588|33916016|34434627|18301626|26601030
25881452,[Laser-based radiometric calibration].,"Li, Zhi-gang ZG|Zheng, Yu-quan YQ",Guang pu xue yu guang pu fen xi = Guang pu,2014 Dec,"Increasingly higher demands are put forward to spectral radiometric calibration accuracy and the development of new tunable laser based spectral radiometric calibration technology is promoted, along with the development of studies of terrestrial remote sensing, aeronautical and astronautical remote sensing, plasma physics, quantitative spectroscopy, etc. Internationally a number of national metrology scientific research institutes have built tunable laser based spectral radiometric calibration facilities in succession, which are traceable to cryogenic radiometers and have low uncertainties for spectral responsivity calibration and characterization of detectors and remote sensing instruments in the UK, the USA, Germany, etc. Among them, the facility for spectral irradiance and radiance responsivity calibrations using uniform sources (SIRCCUS) at the National Institute of Standards and Technology (NIST) in the USA and the Tunable Lasers in Photometry (TULIP) facility at the Physikalisch-Technische Bundesanstalt (PTB) in Germany have more representatives. Compared with lamp-monochromator systems, laser based spectral radiometric calibrations have many advantages, such as narrow spectral bandwidth, high wavelength accuracy, low calibration uncertainty and so on for radiometric calibration applications. In this paper, the development of laser-based spectral radiometric calibration and structures and performances of laser-based radiometric calibration facilities represented by the National Physical Laboratory (NPL) in the UK, NIST and PTB are presented, technical advantages of laser-based spectral radiometric calibration are analyzed, and applications of this technology are further discussed. Laser-based spectral radiometric calibration facilities can be widely used in important system-level radiometric calibration measurements with high accuracy, including radiance temperature, radiance and irradiance calibrations for space remote sensing instruments, and promote the development of aerospace, atmospheric physics, spectroscopy, biological science and so on in the fields of research and industry.",,,17068565|17579678|30278699|24921865|24922428
17579678,Comparison of absolute spectral irradiance responsivity measurement techniques using wavelength-tunable lasers.,"Ahtee, Ville V|Brown, Steven W SW|Larason, Thomas C TC|Lykke, Keith R KR|Ikonen, Erkki E|Noorma, Mart M",Applied optics,2007 Jul 10,"Independent methods for measuring the absolute spectral irradiance responsivity of detectors have been compared between the calibration facilities at two national metrology institutes, the Helsinki University of Technology (TKK), Finland, and the National Institute of Standards and Technology (NIST). The emphasis is on the comparison of two different techniques for generating a uniform irradiance at a reference plane using wavelength-tunable lasers. At TKK's Laser Scanning Facility (LSF) the irradiance is generated by raster scanning a single collimated laser beam, while at the NIST facility for Spectral Irradiance and Radiance Responsivity Calibrations with Uniform Sources (SIRCUS), lasers are introduced into integrating spheres to generate a uniform irradiance at a reference plane. The laser-based irradiance responsivity results are compared to a traditional lamp-monochromator-based irradiance responsivity calibration obtained at the NIST Spectral Comparator Facility (SCF). A narrowband filter radiometer with a 24 nm bandwidth and an effective band-center wavelength of 801 nm was used as the artifact. The results of the comparison between the different facilities, reported for the first time in the near-infrared wavelength range, demonstrate agreement at the uncertainty level of less than 0.1%. This result has significant implications in radiation thermometry and in photometry as well as in radiometry.",,,17068565|25881452|23586268|30278699|24921865
26601030,Optical Passive Sensor Calibration for Satellite Remote Sensing and the Legacy of NOAA and NIST Cooperation.,"Datla, Raju R|Weinreb, Michael M|Rice, Joseph J|Johnson, B Carol BC|Shirley, Eric E|Cao, Changyong C",Journal of research of the National Institute of Standards and Technology,2014,"This paper traces the cooperative efforts of scientists at the National Oceanic and Atmospheric Administration (NOAA) and the National Institute of Standards and Technology (NIST) to improve the calibration of operational satellite sensors for remote sensing of the Earth's land, atmosphere and oceans. It gives a chronological perspective of the NOAA satellite program and the interactions between the two agencies' scientists to address pre-launch calibration and issues of sensor performance on orbit. The drive to improve accuracy of measurements has had a new impetus in recent years because of the need for improved weather prediction and climate monitoring. The highlights of this cooperation and strategies to achieve SI-traceability and improve accuracy for optical satellite sensor data are summarized.",18200303|18216962|20802586|21085215|22695603|26900523|26989581|26989588,,26989588|26989581|26900523|34434627|27805113
26989581,Workshop on Bridging Satellite Climate Data Gaps.,"Cooksey, Catherine C|Datla, Raju R",Journal of research of the National Institute of Standards and Technology,2011 Jan-Feb,"Detecting the small signals of climate change for the most essential climate variables requires that satellite sensors make highly accurate and consistent measurements. Data gaps in the time series (such as gaps resulting from launch delay or failure) and inconsistencies in radiometric scales between satellites undermine the credibility of fundamental climate data records, and can lead to erroneous analysis in climate change detection. To address these issues, leading experts in Earth observations from National Aeronautics and Space Administration (NASA), National Oceanic and Atmospheric Adminstration (NOAA), United States Geological Survey (USGS), and academia assembled at the National Institute of Standards and Technology on December 10, 2009 for a workshop to prioritize strategies for bridging and mitigating data gaps in the climate record. This paper summarizes the priorities for ensuring data continuity of variables relevant to climate change in the areas of atmosphere, land, and ocean measurements and the recommendations made at the workshop for overcoming planned and unplanned gaps in the climate record.",17068565|26989588,26601030|26401440,34434627|26601030|26989588|22838153|30345359
15540442,Comparison of SeaWiFS measurements of the Moon with the U.S. Geological Survey lunar model.,"Barnes, Robert A RA|Eplee, Robert E RE|Patt, Frederick S FS|Kieffer, Hugh H HH|Stone, Thomas C TC|Meister, Gerhard G|Butler, James J JJ|McClain, Charles R CR",Applied optics,2004 Nov 01,"The Sea-Viewing Wide-Field-of-View Sensor (SeaWiFS) has made monthly observations of the Moon since 1997. Using 66 monthly measurements, the SeaWiFS calibration team has developed a correction for the instrument's on-orbit response changes. Concurrently, a lunar irradiance model has been developed by the U.S. Geological Survey (USGS) from extensive Earth-based observations of the Moon. The lunar irradiances measured by SeaWiFS are compared with the USGS model. The comparison shows essentially identical response histories for SeaWiFS, with differences from the model of less than 0.05% per thousand days in the long-term trends. From the SeaWiFS experience we have learned that it is important to view the entire lunar image at a constant phase angle from measurement to measurement and to understand, as best as possible, the size of each lunar image. However, a constant phase angle is not required for using the USGS model. With a long-term satellite lunar data set it is possible to determine instrument changes at a quality level approximating that from the USGS lunar model. However, early in a mission, when the dependence on factors such as phase and libration cannot be adequately determined from satellite measurements alone, the USGS model is critical to an understanding of trends in instruments that use the Moon for calibration. This is the case for SeaWiFS.",,34434627|26900523|26836861|26401440,21221136|18323952|18806861|18364980|12665094
20370157,Absolute spectral radiance responsivity calibration of sun photometers.,"Xu, Qiuyun Q|Zheng, Xiaobing X|Li, Zhengqiang Z|Zhang, Wei W|Wang, Xianhua X|Li, Jianjun J|Li, Xin X",The Review of scientific instruments,2010 Mar,"Sun photometers are designed to measure direct solar irradiance and diffused sky radiance for the purpose of atmospheric parameters characterization. A sun photometer is usually calibrated by using a lamp-illuminated integrating sphere source for its band-averaged radiance responsivity, which normally has an uncertainty of 3%-5% at present. Considering the calibration coefficients may also change with time, a regular high precision calibration is important to maintain data quality. In this paper, a tunable-laser-based facility for spectral radiance responsivity calibration has been developed at the Key Laboratory of Optical Calibration and Characterization, Chinese Academy of Sciences. A reference standard radiance radiometer, calibrated against cryogenic radiometer, is used to determine the radiance from a laser-illuminated integrating sphere source. Spectral radiance responsivity of CIMEL CE318-2 sun photometer is calibrated using this new calibration system with a combined standard uncertainty of about 0.8%. As a validation, the derived band-averaged radiance responsivity are compared to that from a Goddard Space Flight Center lamp-based sphere calibration and good agreements (difference <1.4%) are found from 675 to 1020 nm bands.",,34071400,23586268|33983243|18382558|17068565|26836861
34434627,Workshop on Lunar Calibration for Satellite Remote Sensing.,"Cramer, C E CE",Journal of research of the National Institute of Standards and Technology,2016,"Tracking climate variables at the levels of precision and accuracy required to detect global change requires satellite sensors to make highly consistent measurements that can be compared to measurements made at different times and with different instruments. Gaps in climate data records, such as those resulting from launch delay or instrument failure, and inconsistencies in radiometric scales between satellites can introduce unnecessary measurement error and thus undermine the credibility of fundamental climate data records. To address these issues, leading experts in satellite remote sensing and lunar observation and modeling assembled at the National Institute of Standards and Technology from 12-15 May 2012 for a workshop to discuss the utility of and strategies for using the Moon to calibrate satellite remote sensing measurements. This report summarizes the outcome of the workshop, including suggested steps to maximize the value of the Moon as an exoatmospheric calibration source for satellite remote sensing.",15540442|21221136|26401440,,26989581|26900523|26601030|26401440|33916016
18301626,Observations of the moon by the global ozone monitoring experiment: radiometric calibration and lunar albedo.,"Dobber, M R MR|Goede, A P AP|Burrows, J P JP",Applied optics,1998 Nov 20,"The Global Ozone Monitoring Experiment (GOME) is a new instrument, which was launched aboard the second European Remoting Sensing satellite ESA-ERS2 in 1995. For its long-term radiometric and spectral calibration the GOME observes the sun and less frequently the moon on a regular basis. These measurements of the lunar radiance and solar irradiance have been used in a study to determine, for the first time to the authors' knowledge, the geometric lunar albedo from 240 to 800 nm at high spectral resolution from space. For a waning moon there is good agreement with ground-based measurements in the visible region and with recent space-based measurements in the ultraviolet region. In addition, the use of these measurements for the characterization of in-orbit degradation of instruments operating in this spectral region has been adequately demonstrated.",,,26900523|18806861|12777012|30461732|18784780
