pmid,title,authors,journal,date,abstract,references,citedin,five
28515269,Effect of omega-3 supplementation on neuropathy in type 1 diabetes: A 12-month pilot trial.,"Lewis, Evan J H EJH|Perkins, Bruce A BA|Lovblom, Leif E LE|Bazinet, Richard P RP|Wolever, Thomas M S TMS|Bril, Vera V",Neurology,2017 Jun 13,To test the hypothesis that 12 months of seal oil omega-3 polyunsaturated fatty acids (ω-3 PUFA) supplementation will stop the known progression of diabetic sensorimotor polyneuropathy (DSP) in type 1 diabetes mellitus (T1DM).,8900465|4854401|9681464|22519850|24574353|22548619|12401755|15668414|26884473|22357183|25936902|19317818|26377463|17805837|11056593|15793206|20150297|25387473|9040659|24891155|19907026|22608666|8366922|10436310|24569580|25573881|22686415|14514643|10449124|22323412|9915901|8887017|28243447|2897940|23702780,34737384|34448953|34306062|34282267|34213655|34122344|33475689|33104989|33084971|32934893|32491258|32425569|32412144|31868025|31571089|31346658|31208524|31197183|31175373|31076938|30886017|30828432|30216708|30145729|30136449|29490348|29459766|29329427|28966630,23721647|28295445|15164103|27151222|11237929
17884971,"Comparison of PubMed, Scopus, Web of Science, and Google Scholar: strengths and weaknesses.","Falagas, Matthew E ME|Pitsouni, Eleni I EI|Malietzis, George A GA|Pappas, Georgios G",FASEB journal : official publication of the Federation of American Societies for Experimental Biology,2008 Feb,"The evolution of the electronic age has led to the development of numerous medical databases on the World Wide Web, offering search facilities on a particular subject and the ability to perform citation analysis. We compared the content coverage and practical utility of PubMed, Scopus, Web of Science, and Google Scholar. The official Web pages of the databases were used to extract information on the range of journals covered, search facilities and restrictions, and update frequency. We used the example of a keyword search to evaluate the usefulness of these databases in biomedical information retrieval and a specific published article to evaluate their utility in performing citation analysis. All databases were practical in use and offered numerous search facilities. PubMed and Google Scholar are accessed for free. The keyword search with PubMed offers optimal update frequency and includes online early articles; other databases can rate articles by number of citations, as an index of importance. For citation analysis, Scopus offers about 20% more coverage than Web of Science, whereas Google Scholar offers results of inconsistent accuracy. PubMed remains an optimal tool in biomedical electronic research. Scopus covers a wider journal range, of help both in keyword searching and citation analysis, but it is currently limited to recent articles (published after 1995) compared with Web of Science. Google Scholar, as for the Web in general, can help in the retrieval of even the most obscure information but its use is marred by inadequate, less often updated, citation information.",,34899122|34886283|34837679|34834300|34827780|34770008|34769604|34765132|34746846|34744707|34733737|34723831|34691329|34684649|34683354|34682602|34671257|34660616|34646202|34615625|34586077|34581676|34499195|34465930|34463089|34381864|34371819|34330280|34300467|34281030|34249800|34239441|34204419|34191108|34188380|34177744|34145020|34127872|34109284|34064749|33979776|33913344|33849636|33836752|33828589|33808855|33801013|33789739|33766073|33730069|33686330|33670121|33648978|33626246|33531720|33505620|33456760|33450104|33401394|33397377|33357085|33354331|33324526|33295280|33285883|33256719|33244415|33241154|33240559|33237878|33224964|33219880|33205082|33197230|33167977|33163536|33163460|33152034|33139966|33134495|33123578|33116761|33102810|33089195|33031632|33019485|32987162|32915714|32905259|32904414|32879522|32868982|32832546|32807154|32775695|32773916|32772149|32738881|32727479|32723366|32709237|32705978|32695099|32684943|32610747|32606102|32604805|32581976|32517087|32483219|32477690|32476989|32456654|32426151|32411858|32384901|32370140|32357468|32344668|32332609|32294089|32265754|32260243|32245367|32219575|32215326|32214549|32204347|32188637|32179730|32063731|32038995|31992557|31983157|31914037|31890240|31865588|31864346|31832075|31823031|31815620|31766728|31695632|31652750|31619279|31614060|31543728|31511806|31488065|31470803|31384996|31285923|31277163|31272504|31258772|31247926|31223567|31203394|31178733|31138250|31118003|31115720|31111281|31110624|31103905|31101059|31095553|31088296|31087256|30950797|30940832|30899186|30800284|30744641|30737574|30724614|30623044|30564922|30526510|30521012|30513943|30459681|30409223|30386407|30377667|30348077|30287898|30194569|30181840|30151224|30140437|30087809|30078380|30010750|29996540|29982543|29967745|29925353|29915945|29915944|29914447|29881545|29879464|29850587|29755907|29713462|29692823|29637087|29599984|29563426|29562909|29517962|29490646|29464369|29463974|29444130|29387147|29385197|29371846|29340178|29264408|29234533|29186043|29179733|29162147|29121222|29114112|29095254|29043556|28979201|28972802|28935236|28856028|28852981|28804177|28774315|28725096|28683764|28596628|28593477|28558687|28542584|28479969|28392812|28392739|28342906|28331838|28320410|28288686|28231792|28179007|28153037|28126030|28100272|28096979|28086974|27973611|27899145|27884199|27866473|27844151|27843745|27835703|27724920|27663999|27652054|27618122|27532743|27504147|27478725|27420065|27382475|27366448|27275188|27267256|27235131|27215352|27189233|27158823|27154247|27095075|26921290|26887690|26819840|26770709|26674984|26667087|26656243|26637465|26622289|26601251|26543761|26468423|26445656|26421238|26379270|26374806|26341635|26337534|26306540|26301066|26277112|26224091|26208117|26172553|26142742|26107458|26060621|26038727|25984946|25949270|25933180|25928238|25915521|25888877|25852167|25690674|25686064|25674458|25671116|25617516|25554521|25525498|25348511|25345894|25263231|25182125|25148888|25091931|25075237|25050176|25013748|25005130|24976952|24975597|24971257|24920900|24885706|24788259|24766743|24758477|24753798|24725483|24628838|24622198|24619625|24558535|24554795|24443999|24379959|24360284|24330690|24167778|24163792|24160679|24072686|24058251|24015029|23948488|23915151|23900628|23772139|23758872|23707966|23439775|23375070|23241168|23198104|23087765|22973370|22964880|22780908|22679453|22434265|22384515|22364509|22230643|22224134|22180873|22126216|22059168|21912995|21837485|21800117|21698195|21659400|21619707|21613620|21493657|21347409|21347167|21339895|21176219|21085482|20665140|20648248|20531223|20459746|20401951|20162739|20126268|18974831,19738094|20401951|16805916|31886636|31710021
32174808,Trends of Repetitive Transcranial Magnetic Stimulation From 2009 to 2018: A Bibliometric Analysis.,"Zheng, Kang-Yong KY|Dai, Guang-Yan GY|Lan, Yue Y|Wang, Xue-Qiang XQ",Frontiers in neuroscience,2020,"Repetitive transcranial magnetic stimulation (rTMS) technology, which is amongst the most used non-invasive brain stimulation techniques currently available, has developed rapidly from 2009 to 2018. However, reports on the trends of rTMS using bibliometric analysis are rare. The goal of the present bibliometric analysis is to analyze and visualize the trends of rTMS, including general (publication patterns) and emerging trends (research frontiers), over the last 10 years by using the visual analytic tool CiteSpace V. Publications related to rTMS from 2009 to 2018 were retrieved from the Web of Science (WoS) database, including 2,986 peer-reviewed articles/reviews. Active authors, journals, institutions, and countries were identified by WoS and visualized by CiteSpace V, which could also detect burst changes to identify emerging trends. GraphPad Prism 8 was used to analyze the time trend of annual publication outputs. The USA ranked first in this field. Pascual-Leone A (author A), Fitzgerald PB (author B), George MS (author C), Lefaucheur JP (author D), and Fregni F (author E) made great contributions to this field of study. The most prolific institution to publish rTMS-related publications in the last decade was the University of Toronto. The journal Brain Stimulation published most papers. Lefaucheur et al.'s paper in 2014, and the keyword ""sham controlled trial"" showed the strongest citation bursts by the end of 2018, which indicates increased attention to the underlying work, thereby indicating the research frontiers. This study reveals the publication patterns and emerging trends of rTMS based on the records published from 2009 to 2018. The insights obtained have reference values for the future research and application of rTMS.",30769128|12937078|26594073|30352528|14724295|28479858|20160893|22661405|30264518|19696930|30773896|17573044|30661940|22508405|28598858|20585474|16779135|16857577|19079129|16390894|31133889|21414995|22713491|17368094|25387001|14977202|17673361|21056619|14645480|31082456|29110687|31762442|18801225|17079517|12478392|23154644|27689549|16275915|21538653|20478978|28028801|17978325|16890483|19859782|25175159|26349810|25797650|27655008|8684201|15056717|17655557|12727683|15664172|31068784|22658708|18223016|21474597|29137328|25206333|26382227|17046606|20633383|31092060|22443895|19693003|18845611|25034472|17640522|21593336|25940769|10802449|25465290|15911819|19145228|20633391|23623156|30733704|17565358|16809569|29323025|23799477|22483681|22037123|20439832|21527312|23507264|16203702|23827785|18447962|23728683|27021215|14614806|31772566|22410477|27428861|27931886|15766771|23249815|20633392,34581676|34414092|33897259|33488420|32612497,32801848|31762442|33032636|34721179|32215136|33662607
27044432,Global architecture of gestational diabetes research: density-equalizing mapping studies and gender analysis.,"Brüggmann, Dörthe D|Richter, Theresa T|Klingelhöfer, Doris D|Gerber, Alexander A|Bundschuh, Matthias M|Jaque, Jenny J|Groneberg, David A DA",Nutrition journal,2016 Apr 04,"Gestational diabetes mellitus (GDM) is associated with substantial morbidity for mothers and their offspring. While clinical and basic research activities on this important disease grow constantly, there is no concise analysis of global architecture of GDM research. Hence, it was the objective of this study to assess the global scientific performance chronologically, geographically and in relation to existing research networks and gender distribution of publishing authors.",18936382|26611203|23414631|15253331|24912097|19555514|24879489|26045324|19534581|19648952|17438165|16835844|19465232|24205854|25272079|17572266|14984444|19465234|22462760|14581157|19171075|25604891|15547538|18691691|21992147|18315838|15846171|23734726|11009525|12683645|7060847|9251637|20510966|15136719|24245856|11547793|25757637|19620543|25409503|22150506|23264425|25182507|22105269|18582642|18554379|12144115|23797780|24438527|18166298|25439813|25341220|8435576|21999813|24892280,34579111|34408344|34188380|33392018|32372129|32214551|32121642|31346764|30356275|29306332|28086974,26611203|26593932|27352827|29025848|27653503
31204025,"Historical, descriptive and exploratory analysis of application of bibliometrics in nursing research.","Kokol, Peter P|Blažun Vošner, Helena H",Nursing outlook,2019 Nov - Dec,The aim of the study was to analyse the literature production on application of bibliometrics in nursing research.,,34824732|34621898,28295539|32404730|33814160|31995273|11555042|30289557|31811671
34541276,Ovarian cancer in Morocco: Time to act is now.,"El Bairi, Khalid K|Al Jarroudi, Ouissam O|Afqir, Said S",Gynecologic oncology reports,2021 Aug,"•Ovarian cancer seems is a neglected cancer in Morocco.•No publications that impact clinical practice were published in the last decade.•In this editorial, we provide our vision to develop this ignored area of gynecologic oncology.",34150972|28083218|32729410|32334501|33812984|25940769|33766647|28443762|27981507,,34150972|19509541|22357146|25735256|21543935
31762442,Publications on the Association Between Cognitive Function and Pain from 2000 to 2018: A Bibliometric Analysis Using CiteSpace.,"Zheng, Kangyong K|Wang, Xueqiang X",Medical science monitor : international medical journal of experimental and clinical research,2019 Nov 25,"BACKGROUND This study aimed to use CiteSpace software to conduct a bibliometric analysis of published studies on the association between pain and cognitive function from 2000 to 2018. The study also aimed to determine publication patterns and authorship and to identify recent trends for research in this field. MATERIAL AND METHODS Publications on the association between cognitive function and pain between 2000 and 2018 were identified from the Web of Science database. Bibliographic information, including authorship, country, citation frequency, changes in citation, and interactive visualization were generated using CiteSpace software. Co-citation, or frequency of two publications cited together by another publication, was also studied. RESULTS On 8th January 2019, 4,889 publications were identified. The United States (1132 publications) and the University of Washington (87 publications) were the most productive country and institution, respectively. The journal, Pain (182 publications) had the largest number of publications and was the most frequently cited journal (citation counts, 1569) with the highest centrality (0.62). Author A had the largest number of publications (21). Author B had the greatest co-citation count (223). Author C tied with Author D as the first co-cited author in terms of centrality (0.18). Author E in 2011 (co-citation count, 96) and Author F in 2008 (centrality: 0.11) had the highest co-citation counts and centrality, respectively. The keyword 'empathy' ranked first for research developments with the highest citation burst (10.045). CONCLUSIONS Bibliometric analysis of the association between pain and cognitive function might identify new directions for future research.",28708762|11550731|27200490|10550807|29187324|20646831|20510844|16779135|21996532|23194184|24287107|10353497|16095934|29455057|23245607|19738094|23132665|22275476|28034975|17214562|30997260|19702618|26594073|25680884|19019259|23200258|14976305|29137328|26436897|22443895|22961548|26433218|25940769|27925374|29736780|27742412|28379916|30356485|28479858|19171885|28850372|21216272|21168972|20946964|30649098|25074583|17150987|24386168|27470291|18256259|26379270|25803793|29856761,34552477|34368063|34337692|34335257|34234545|34177744|34079357|33897259|33737903|33688338|33680225|33679140|33488420|32951349|32801848|32215136|32174808,33032636|32379053|33163536|32406145|31526946
32179730,A Bibliometric Analysis Using CiteSpace of Publications from 1999 to 2018 on Patient Rehabilitation After Total Knee Arthroplasty.,"Wang, Shi-Qi SQ|Gao, Ya-Qian YQ|Zhang, Chi C|Xie, Yu-Jie YJ|Wang, Jian-Xiong JX|Xu, Fang-Yuan FY",Medical science monitor : international medical journal of experimental and clinical research,2020 Mar 17,"BACKGROUND Following total knee arthroplasty (TKA), postoperative patient rehabilitation is important to achieve the optimal level of knee function and mobility. Clinical research in this field is growing, and bibliometric analysis of publication may provide direction for research clinicians and raise awareness of research trends, journal selection, and key topics. Therefore, this bibliometric study aimed to analyze the current status and trends during the past two decades, between 1999 and 2018, of publications on rehabilitation after total knee arthroplasty (TKA) and used CiteSpace. MATERIAL AND METHODS The global literature was searched between 2018 to 2019 for publications related to rehabilitation after TKA. Publication data were identified using relevant search terms and the Web of Science Core Collection database. CiteSpace (5.3.R11) software was used to analyze the journals, authors, institutions, countries, cited references, and keywords using standard bibliometric indicators. RESULTS A total of 1,292 publications were retrieved between 1999 to 2018, and the most active journals, countries, authors, and institutions in the field of TKA rehabilitation were identified. Key areas of research included postoperative analgesia, muscle inhibition, range of motion, inhibitors, knee flexion, pain control, self-reporting, spectral analysis, in vivo forces, and rotator cuff repair. The emerging research topics included epidural analgesia, physiotherapy, postoperative analgesia, recovery, and the use of ropivacaine local analgesia. CONCLUSIONS The findings from this bibliometric study provided insight into trends in clinical research publications in the field of rehabilitation following TKA for the past 20 years, including global trends in emerging areas of research.",31264698|30286130|10422923|23054516|19177542|17884971|20710093|25077605|26512227|28801208|30962235|30773356|21909470|30582918|26530481|30656689|9661552|15866968|29338141|30508936|30770536|29356932|18060669|30050087|20966667|16108583|2805470|29088582|30496082|17403800|14724295|31710021|30819194|16805916|31484517|22095207|26379270|26389067,34306062|34234545|33688338|33585791|33574698|33488420,31155459|27295978|34628917|33032636|30601042|29589782
32215136,A Bibliometric Analysis of Nonspecific Low Back Pain Research.,"Weng, Lin-Man LM|Zheng, Yi-Li YL|Peng, Meng-Si MS|Chang, Tian-Tian TT|Wu, Bao B|Wang, Xue-Qiang XQ",Pain research & management,2020,"Researchers are highly interested in the study of nonspecific low back pain (NSLBP). However, few have attempted to collect global data, analyze the emerging trends, and conduct reviews from the perspectives of visualization and bibliometrics.",21982256|27745712|24315140|22037844|31762442|31534817|31333893|25389037|27504049|28359011|28514311|31772566|26606383|24665116|24394361|18614473|15867409|16034851|11064524|30290588|20640863|25296139|20602122|29137328|18417552|22443895|17250965|27327516|26109957|25077605|15733046|17909209|15038680|28027366|28479858|16550448|19200918|21665125,34368063|33987503|33897259|33688338|33680225|32612381,28479858|33032636|33832287|34368063|30732183
33897259,Bibliometric Analysis of Research Articles on Pain in the Elderly Published from 2000 to 2019.,"Zhao, Yanqiao Y|Zhang, Ziping Z|Guo, Suimin S|Feng, Beibei B|Zhao, Xiaoyu X|Wang, Xueqiang X|Wang, Yuling Y",Journal of pain research,2021,"Given the rapid growth of the global aging population, pain has become an unneglectable concern amongst the elderly. The quantity of scientific research outputs on pain in the elderly has increased over time, but only a small number of studies have used bibliometric methods to analyze scientific research in this field. This paper aimed to analyze scientific research on pain in the elderly published from 2000 to 2019 in a systematic manner using bibliometric methods.",24287107|30245817|28767506|21149752|12507710|17544212|31772566|14612479|25700587|25157726|11459714|15218407|26903081|19934422|26529270|28576285|16153776|30183876|20869000|31762442|19111989|29224694|32297233|29801109|20202144|11459713|29084525|15275787|19751691|26512226|11156538|24967471|28883862|26896947|15876494|21963002|24547805|19968014|15218405|29415771|15146420|25940769|23585738|28073051|31920521|19167821|17179836|32215136|14724295|27837174|28479858|25453461|18958310|32174808|25447976|11176772|30511320|16488350|22078064|28731948|23420266,34070450,30290588|34778363|34113168|33618448|29871851|34229370
26611203,Rotavirus - Global research density equalizing mapping and gender analysis.,"Köster, Corinna C|Klingelhöfer, Doris D|Groneberg, David A DA|Schwarzer, Mario M",Vaccine,2016 Jan 02,"Rotaviruses are the leading reason for dehydration and severe diarrheal disease and in infants and young children worldwide. An increasing number of related publications cause a crucial challenge to determine the relevant scientific output. Therefore, scientometric analyses are helpful to evaluate quantity as well as quality of the worldwide research activities on Rotavirus. Up to now, no in-depth global scientometric analysis relating to Rotavirus publications has been carried out. This study used scientometric tools and the method of density equalizing mapping to visualize the differences of the worldwide research effort referring to Rotavirus. The aim of the study was to compare scientific output geographically and over time by using an in-depth data analysis and New quality and quantity indices in science (NewQIS) tools. Furthermore, a gender analysis was part of the data interpretation.",,34237734|32610747|32214551|30356275|29768428|29731971|29293499|29254213|28751483|27044432|26691532,27044432|27678043|28751483|27820835|28052133
